Age,Occupation,MaritalStatus,Dependents,ResidentialStatus,AddressDuration,CreditScore,IncomeLevel,LoanAmountRequested,LoanTerm,PurposeoftheLoan,Collateral,InterestRate,PreviousLoans,ExistingLiabilities,ApplicationBehavior,LocationofApplication,ChangeinBehavior,TimeofTransaction,AccountActivity,PaymentBehavior,Blacklists,EmploymentVerification,PastFinancialMalpractices,DeviceInformation,SocialMediaFootprint,ConsistencyinData,Referral,IsFraud
22,Manager,Divorced,3,Own,100,765,137029,69977,24,auto,Yes,4.5,2,1491,Normal,Local,Yes,12:30,Normal,Late,No,Verified,No,Desktop,No,Consistent,Online,Yes
22,Artist,Single,4,Rent,1,830,50134,32070,12,education,No,5.1,3,3260,Rapid,Local,No,12:45,Normal,On-time,No,Verified,No,Desktop,No,Inconsistent,Online,No
48,Engineer,Single,0,Own,9,721,78377,20985,21,home,No,5.2,2,0,Rapid,Local,No,10:00,Normal,Late,No,Verified,No,Mobile,No,Consistent,Referral,No
22,Technician,Single,0,Rent,89,580,767,2000,5,personal,No,8,2,1582,Normal,Unusual,No,03:00,Normal,Defaulted,No,Verified,No,Mobile,No,Consistent,Online,Yes
22,Engineer,Married,2,Own,41,830,20522,78071,30,home,No,4.5,3,0,Normal,Local,Yes,11:15,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,No
37,Manager,Single,0,Own,58,822,38122,75674,6,home,No,4.5,2,4254,Normal,Local,No,09:40,Normal,Late,No,Not Verified,No,Desktop,No,Consistent,Online,No
39,Self-employed,Married,4,Own,43,800,122248,49855,11,home,No,4.5,0,0,Normal,Local,No,12:45,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
53,Lawyer,Married,0,Own,1,830,65785,81252,30,home,Yes,4.9,3,0,Normal,Local,No,10:00,Normal,On-time,No,Verified,No,Laptop,Yes,Consistent,Referral,No
22,Musician,Single,0,Rent,36,762,98224,10586,1,auto,No,5.7,2,4072,Normal,Local,No,13:30,Normal,On-time,Yes,Verified,No,Desktop,No,Inconsistent,Online,No
29,Self-employed,Single,3,Rent,60,580,74066,47924,13,home,No,6.2,0,4899,Normal,Local,No,14:15,Normal,Late,No,Verified,No,Mobile,No,Consistent,Referral,No
32,Student,Married,4,Own,1,787,0,58694,22,home,No,4.5,3,2253,Normal,Local,No,12:45,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Referral,No
44,Musician,Single,1,Rent,12,713,92296,2000,12,education,No,5.3,1,4654,Rapid,Local,No,13:30,Normal,On-time,No,Not Verified,No,Tablet,No,Inconsistent,Online,Yes
37,Unemployed,Single,0,Rent,83,580,22040,2000,8,auto,No,5.9,1,4836,Normal,Unusual,No,03:00,Normal,Defaulted,No,Not Verified,No,Tablet,No,Inconsistent,Online,Yes
56,Manager,Divorced,0,Own,1,737,142783,22409,28,home,No,4.5,1,2866,Normal,Local,No,11:50,Normal,Late,No,Verified,No,Tablet,No,Consistent,Online,No
22,Teacher,Single,0,Rent,37,830,24069,22913,1,auto,No,4.5,0,2467,Normal,Local,No,03:00,Normal,On-time,No,Not Verified,No,Desktop,No,Consistent,Online,No
36,Self-employed,Single,1,Own,85,731,39072,2000,1,auto,No,4.5,0,3126,Rapid,Unusual,No,10:20,Unusual,On-time,No,Verified,No,Mobile,No,Consistent,Online,Yes
55,Doctor,Married,0,Own,23,830,99443,19256,5,medical,No,4.5,4,7000,Normal,Local,No,14:15,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,No
42,Retired,Single,0,Rent,1,830,21731,2000,1,auto,No,8,1,0,Rapid,Local,No,13:30,Normal,On-time,No,Not Verified,No,Desktop,No,Consistent,Referral,Yes
22,Engineer,Single,1,Rent,77,820,13493,47622,1,personal,No,4.5,1,4217,Rapid,Unusual,No,01:00,Normal,On-time,Yes,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
22,Engineer,Single,1,Rent,29,751,94320,74614,29,auto,No,6.8,2,4376,Normal,Local,No,16:00,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,Yes
22,Entrepreneur,Single,3,Own,27,813,60813,2000,9,education,No,4.5,1,0,Normal,Local,No,15:30,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
22,Accountant,Single,1,Rent,65,770,47762,32930,18,personal,No,4.5,1,4084,Normal,Unusual,No,03:00,Normal,On-time,No,Not Verified,No,Mobile,No,Consistent,Online,No
39,Engineer,Married,4,Own,178,817,43465,77456,12,auto,No,7,2,0,Normal,Local,No,14:40,Unusual,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
56,Lawyer,Married,0,Own,179,825,41234,77180,30,home,No,5,2,3381,Normal,Local,No,10:20,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
45,Lawyer,Single,1,Rent,90,784,2349,2000,3,travel,No,6.5,1,4687,Rapid,Local,No,09:00,Normal,On-time,No,Verified,No,Desktop,No,Inconsistent,Online,Yes
42,Manager,Married,3,Own,11,742,106941,78276,30,home,Yes,4.5,1,1066,Normal,Local,Yes,10:30,Normal,On-time,No,Verified,No,Tablet,Yes,Consistent,Referral,No
25,Teacher,Divorced,1,Own,254,816,2883,54497,1,home,No,7,2,1673,Normal,Local,No,10:20,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
30,Accountant,Single,1,Rent,62,795,6122,76976,20,auto,No,5.2,1,3043,Normal,Local,No,15:30,Unusual,On-time,No,Verified,No,Desktop,No,Inconsistent,Online,Yes
32,Musician,Single,1,Own,22,830,14252,2000,8,auto,No,5.8,2,3295,Normal,Local,No,12:00,Normal,On-time,No,Verified,No,Desktop,No,Inconsistent,Online,No
27,Musician,Single,0,Rent,24,648,6897,69124,1,travel,No,4.5,1,5193,Rapid,Local,No,02:00,Normal,On-time,No,Verified,No,Tablet,No,Inconsistent,Online,No
34,Engineer,Single,0,Rent,1,819,20383,2000,6,travel,No,4.5,2,2889,Normal,Local,No,12:00,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
28,Engineer,Married,3,Rent,66,830,150000,41396,26,home,Yes,4.5,2,1566,Normal,Local,No,10:50,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
30,Doctor,Divorced,0,Own,1,830,150000,65613,30,home,Yes,5.3,3,5492,Normal,Local,Yes,16:30,Normal,On-time,No,Verified,No,Laptop,Yes,Consistent,Referral,No
24,Accountant,Single,0,Own,8,580,70836,77004,16,personal,Yes,5.9,0,1898,Rapid,Local,No,16:00,Normal,On-time,No,Verified,No,Tablet,No,Inconsistent,Online,No
56,Manager,Married,0,Own,360,820,84366,63689,17,home,Yes,6.3,4,7000,Normal,Local,No,10:40,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
47,Retired,Divorced,4,Own,47,828,47244,39345,8,medical,No,4.5,0,72,Rapid,Local,No,12:45,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Referral,No
22,Manager,Single,0,Own,2,773,12055,27771,15,personal,Yes,4.5,2,710,Normal,Local,No,10:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
32,Lawyer,Single,4,Rent,1,772,7939,2000,14,education,No,4.5,4,4729,Rapid,Local,No,12:00,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
34,Manager,Divorced,0,Rent,101,668,36000,54650,14,auto,No,5.3,2,3979,Rapid,Local,No,16:30,Unusual,On-time,No,Not Verified,Yes,Laptop,No,Consistent,Referral,No
54,Clerk,Single,4,Rent,48,727,4361,24780,1,home,No,4.9,1,4585,Rapid,Local,No,03:00,Normal,On-time,No,Verified,No,Desktop,No,Inconsistent,Online,No
22,Self-employed,Single,0,Rent,78,813,4992,30219,30,auto,No,4.5,1,3207,Rapid,Local,No,12:45,Normal,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,No
56,Retired,Married,0,Own,1,830,66934,37963,1,home,No,4.5,2,4428,Rapid,Local,No,10:20,Normal,On-time,Yes,Verified,No,Tablet,No,Consistent,Online,No
26,Musician,Single,4,Rent,56,631,69,50176,3,personal,No,4.5,1,4951,Normal,Unusual,No,02:00,Normal,On-time,No,Not Verified,No,Desktop,No,Inconsistent,Online,No
56,Manager,Divorced,0,Own,1,830,94308,2000,17,home,No,7,2,2710,Rapid,Local,No,14:10,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
41,Engineer,Married,1,Rent,1,729,0,2000,11,education,No,4.5,2,4205,Normal,Unusual,No,14:40,Normal,Late,No,Not Verified,No,Desktop,No,Consistent,Online,Yes
23,Manager,Divorced,0,Own,1,739,69274,23390,28,auto,No,4.5,2,0,Rapid,Local,No,11:00,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
25,Accountant,Single,4,Own,5,786,87416,2000,20,home,No,6.1,2,0,Rapid,Local,No,03:00,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
22,Engineer,Divorced,4,Own,1,706,19204,2000,16,medical,No,4.5,1,959,Normal,Local,No,03:00,Normal,Defaulted,No,Not Verified,No,Laptop,No,Consistent,Online,No
39,Accountant,Married,0,Rent,95,830,40961,80148,30,personal,Yes,4.5,2,2502,Normal,Local,No,12:00,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,No
34,Engineer,Single,0,Live with Parents,57,776,13297,2000,12,personal,No,8,1,0,Normal,Local,No,09:00,Normal,Defaulted,No,Not Verified,No,Mobile,No,Inconsistent,Online,No
35,Accountant,Single,0,Rent,1,721,44943,2000,27,home,No,4.5,0,0,Rapid,Local,No,14:40,Normal,On-time,No,Verified,No,Mobile,Yes,Consistent,Referral,No
22,Engineer,Single,1,Rent,85,819,72660,39269,1,personal,No,4.5,1,1862,Rapid,Local,No,15:40,Normal,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,No
56,Architect,Single,1,Own,360,830,63156,40740,1,home,No,4.5,2,7000,Normal,Local,No,10:40,Normal,Late,No,Verified,No,Tablet,No,Consistent,Online,No
24,Designer,Divorced,4,Rent,1,830,48742,19397,20,auto,No,4.5,1,4514,Normal,Local,No,10:20,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
22,Musician,Single,1,Rent,1,787,0,22070,7,medical,No,4.5,1,4990,Rapid,Local,No,15:40,Normal,On-time,No,Not Verified,No,Desktop,Yes,Consistent,Referral,No
24,Engineer,Divorced,1,Rent,71,681,23786,55255,30,home,No,4.6,1,4584,Normal,Local,Yes,13:20,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
43,Engineer,Married,0,Own,20,695,22390,300000,12,home,Yes,4.6,2,6843,Rapid,Local,No,14:10,Normal,On-time,No,Verified,No,Mobile,Yes,Consistent,Referral,No
26,Designer,Single,3,Own,26,795,52098,33820,6,home,No,4.9,0,2121,Rapid,Local,No,15:40,Normal,On-time,No,Verified,No,Desktop,Yes,Inconsistent,Online,No
38,Manager,Married,0,Own,89,830,150000,300000,30,home,Yes,4.5,1,0,Normal,Local,Yes,10:50,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Online,No
43,Entrepreneur,Divorced,4,Own,81,830,23185,300000,30,home,Yes,4.5,1,0,Normal,Local,Yes,12:30,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
44,Retired,Single,2,Rent,1,830,33879,14810,7,auto,No,4.5,2,5139,Normal,Local,No,15:30,Normal,On-time,No,Not Verified,No,Tablet,No,Consistent,Online,Yes
33,Unemployed,Single,1,Rent,76,812,37588,67192,1,personal,No,8,0,2129,Normal,Local,No,10:00,Normal,Late,No,Verified,No,Mobile,Yes,Inconsistent,Online,Yes
37,Engineer,Single,0,Rent,73,707,0,15522,1,personal,No,8,2,3509,Normal,Local,No,01:00,Normal,On-time,Yes,Verified,No,Desktop,No,Inconsistent,Online,No
22,Technician,Single,0,Rent,63,703,36459,51623,16,auto,No,4.6,2,2530,Normal,Unusual,No,11:00,Normal,On-time,Yes,Not Verified,No,Desktop,No,Inconsistent,Online,Yes
42,Engineer,Divorced,4,Own,23,830,137358,67494,30,home,No,5.3,2,637,Normal,Local,Yes,10:50,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Unemployed,Single,1,Rent,84,821,1415,2000,17,auto,No,4.5,1,3358,Normal,Local,No,16:00,Unusual,Defaulted,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
36,Technician,Single,1,Rent,77,746,23696,22108,1,personal,No,8,1,5106,Normal,Unusual,No,11:00,Unusual,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
22,Manager,Divorced,3,Own,16,830,38099,57405,19,auto,No,4.5,1,2239,Rapid,Local,No,10:50,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
37,Doctor,Divorced,0,Own,30,830,134799,68425,26,home,Yes,4.5,4,7000,Rapid,Local,Yes,10:00,Normal,On-time,No,Verified,No,Laptop,Yes,Consistent,Referral,No
35,Manager,Married,4,Own,1,830,38317,49243,1,personal,No,4.8,0,3108,Normal,Local,Yes,12:45,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
22,Engineer,Divorced,3,Rent,1,830,63415,2000,13,personal,No,4.5,1,0,Normal,Local,No,14:00,Normal,On-time,No,Verified,No,Laptop,No,Inconsistent,Referral,No
28,Artist,Single,1,Rent,34,784,0,2000,12,travel,No,8,1,0,Rapid,Local,No,13:20,Normal,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,No
40,Student,Married,2,Live with Parents,33,830,44205,62928,11,personal,No,4.5,2,5172,Rapid,Local,No,14:10,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
56,Self-employed,Single,0,Rent,1,789,0,47169,1,personal,No,6.1,1,4510,Normal,Local,No,03:00,Normal,On-time,No,Verified,No,Mobile,No,Inconsistent,Online,Yes
40,Software Developer,Single,1,Own,60,830,25183,2000,12,auto,No,4.5,3,5026,Normal,Local,No,10:20,Normal,On-time,Yes,Verified,No,Mobile,No,Consistent,Online,No
24,Chef,Single,1,Rent,1,830,0,2000,14,auto,No,5.2,2,0,Normal,Local,No,16:00,Normal,Defaulted,No,Verified,No,Mobile,No,Inconsistent,Online,Yes
22,Lawyer,Single,0,Rent,1,580,37057,7809,1,auto,No,4.8,1,0,Rapid,Local,No,10:10,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
23,Engineer,Single,1,Rent,34,792,0,25751,18,auto,No,4.7,2,3835,Rapid,Local,No,03:00,Unusual,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
32,Engineer,Single,2,Own,30,725,3941,20741,10,home,No,8,1,4257,Normal,Local,No,10:20,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Referral,No
31,Entrepreneur,Married,4,Own,137,733,27200,46688,30,home,No,4.5,1,4634,Normal,Local,No,16:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Engineer,Single,3,Live with Parents,57,830,15125,61841,15,home,No,4.5,2,3954,Rapid,Local,No,14:10,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
25,Engineer,Married,1,Own,1,830,73083,51813,30,home,No,4.5,2,3211,Rapid,Local,No,10:20,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
56,Manager,Married,0,Own,39,658,61619,2000,7,home,No,4.5,4,7000,Normal,Local,No,12:45,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Online,No
50,Manager,Married,4,Own,1,808,30977,300000,23,home,No,4.5,1,4094,Normal,Local,Yes,16:30,Normal,On-time,No,Verified,No,Laptop,Yes,Consistent,Referral,No
48,Manager,Single,4,Own,18,695,20142,66911,3,home,Yes,4.5,0,4232,Normal,Unusual,No,16:00,Normal,On-time,No,Not Verified,No,Desktop,Yes,Consistent,Referral,No
56,Manager,Divorced,0,Own,230,667,52151,74571,5,home,No,4.5,1,3552,Normal,Local,Yes,10:00,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Referral,No
42,Manager,Married,4,Live with Parents,72,652,6949,65997,30,home,Yes,4.5,2,4334,Rapid,Local,Yes,14:10,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
40,Entrepreneur,Married,0,Own,261,798,101736,300000,3,home,Yes,4.9,1,2325,Normal,Local,No,13:20,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
42,Technician,Divorced,0,Own,360,729,0,300000,28,home,No,6.6,4,3711,Normal,Local,No,13:20,Normal,Late,No,Not Verified,No,Desktop,Yes,Consistent,Online,No
35,Musician,Divorced,2,Own,15,659,10995,61124,1,home,No,6.2,0,3488,Normal,Local,No,11:15,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Referral,No
56,Entrepreneur,Divorced,3,Own,57,697,20833,50325,13,home,Yes,4.5,1,7000,Rapid,Local,No,10:40,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
23,Accountant,Single,4,Rent,25,749,114262,11761,22,education,No,8,1,2468,Rapid,Local,No,10:00,Normal,On-time,No,Not Verified,No,Desktop,No,Consistent,Online,Yes
36,Engineer,Single,0,Own,1,830,40782,2335,9,home,No,5.1,4,0,Normal,Local,No,13:30,Normal,On-time,No,Not Verified,No,Desktop,No,Consistent,Online,No
45,Software Developer,Single,0,Live with Parents,70,590,0,9010,1,travel,No,5.1,1,4876,Rapid,Local,No,16:00,Unusual,On-time,No,Verified,No,Tablet,No,Consistent,Referral,No
55,Entrepreneur,Divorced,4,Own,1,830,98548,82028,30,home,Yes,4.5,1,2904,Rapid,Local,No,12:00,Normal,Late,No,Verified,No,Desktop,Yes,Consistent,Referral,No
22,Unemployed,Single,0,Rent,76,830,33139,37473,1,auto,No,7.7,1,3077,Rapid,Local,No,09:30,Normal,Late,No,Verified,No,Mobile,Yes,Inconsistent,Online,No
22,Unemployed,Single,0,Rent,32,638,66284,2000,4,education,No,8,2,3743,Rapid,Unusual,No,02:00,Normal,On-time,No,Verified,Yes,Mobile,No,Inconsistent,Online,Yes
22,Musician,Married,4,Own,22,830,22002,66758,20,auto,Yes,4.5,1,399,Rapid,Local,No,10:30,Normal,Late,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Entrepreneur,Single,4,Own,14,830,75411,55099,30,education,No,4.5,2,3373,Rapid,Local,Yes,16:30,Normal,On-time,No,Verified,No,Tablet,No,Consistent,Online,No
56,Architect,Divorced,3,Own,1,690,21224,32363,3,medical,Yes,4.5,2,7000,Rapid,Local,Yes,12:30,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Online,No
24,Engineer,Single,4,Own,79,717,1678,300000,21,auto,Yes,4.5,0,0,Normal,Local,No,12:45,Normal,Late,No,Verified,Yes,Laptop,No,Consistent,Online,Yes
23,Chef,Divorced,0,Own,227,714,93965,2000,26,education,Yes,4.5,2,7000,Normal,Local,Yes,11:15,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
31,Engineer,Divorced,1,Own,66,830,150000,81504,10,home,Yes,5.7,0,0,Rapid,Local,No,10:50,Normal,Late,No,Verified,No,Laptop,No,Consistent,Referral,No
22,Self-employed,Single,1,Rent,15,809,26588,65852,3,personal,No,4.5,0,3433,Normal,Local,No,11:00,Unusual,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
28,Manager,Married,1,Own,89,654,15682,33145,10,education,No,5,4,4544,Normal,Local,No,15:40,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Referral,No
22,Retired,Single,0,Rent,91,804,82951,61110,5,auto,No,8,1,3504,Rapid,Local,No,11:50,Normal,On-time,No,Verified,No,Mobile,No,Inconsistent,Online,No
42,Accountant,Married,0,Own,131,763,0,56433,28,auto,No,4.5,2,4843,Rapid,Local,No,14:10,Normal,Defaulted,No,Verified,No,Laptop,No,Consistent,Referral,No
35,Musician,Single,0,Rent,11,806,32217,2000,26,auto,No,4.5,1,0,Normal,Local,No,10:10,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Referral,No
34,Manager,Divorced,0,Own,1,765,6597,2000,30,home,No,4.5,1,5669,Normal,Local,No,16:30,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
22,Clerk,Single,1,Rent,1,580,44112,2000,30,travel,No,4.5,1,4365,Rapid,Unusual,No,14:40,Normal,Late,No,Not Verified,No,Tablet,No,Consistent,Online,No
33,Artist,Single,0,Rent,83,670,72411,4805,6,personal,No,4.5,1,4467,Normal,Unusual,No,12:30,Normal,On-time,No,Not Verified,No,Desktop,No,Inconsistent,Online,No
56,Manager,Married,0,Own,1,830,150000,72511,29,home,Yes,4.5,0,270,Rapid,Local,Yes,13:20,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
39,Manager,Divorced,0,Own,222,830,112879,80164,30,home,Yes,4.5,2,4110,Normal,Local,Yes,14:40,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
22,Clerk,Single,0,Rent,1,795,73308,57342,8,personal,No,4.5,1,1354,Rapid,Local,No,01:00,Normal,Late,No,Not Verified,No,Laptop,No,Inconsistent,Online,Yes
37,Manager,Single,0,Rent,1,830,28689,9741,18,education,Yes,4.5,1,1274,Normal,Unusual,No,14:40,Normal,On-time,No,Verified,No,Mobile,No,Inconsistent,Online,No
35,Software Developer,Single,0,Own,76,788,37818,37186,30,home,No,5.1,1,0,Normal,Local,No,12:45,Normal,Late,No,Verified,No,Tablet,No,Consistent,Referral,No
22,Manager,Married,0,Own,71,738,60618,2000,27,personal,Yes,6,1,4047,Normal,Local,No,09:00,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Referral,No
49,Entrepreneur,Married,0,Own,61,830,40959,73271,1,auto,No,4.5,0,4807,Normal,Local,Yes,10:30,Normal,Late,No,Verified,No,Desktop,Yes,Consistent,Online,No
26,Student,Single,1,Own,5,806,0,2000,1,auto,No,4.5,1,1372,Normal,Unusual,No,11:00,Unusual,Late,No,Verified,No,Mobile,No,Consistent,Online,No
22,Engineer,Single,0,Rent,68,672,18182,12921,8,education,No,6.8,1,0,Normal,Unusual,No,14:00,Unusual,Late,No,Not Verified,No,Desktop,No,Consistent,Online,No
22,Manager,Single,1,Rent,1,800,25932,44688,25,personal,No,4.9,1,284,Normal,Unusual,No,14:15,Normal,Late,No,Verified,No,Mobile,No,Consistent,Referral,No
49,Retired,Single,4,Rent,1,731,67134,37949,26,auto,No,4.5,0,2483,Normal,Unusual,No,10:10,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
52,Lawyer,Divorced,4,Own,105,830,17383,77068,12,home,Yes,4.5,4,7000,Normal,Local,Yes,10:00,Normal,On-time,No,Verified,No,Tablet,Yes,Consistent,Referral,No
41,Chef,Divorced,1,Own,283,830,97978,2000,1,home,Yes,4.5,4,2857,Normal,Unusual,No,12:10,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,No
36,Designer,Single,0,Own,48,830,44366,49532,1,personal,No,4.8,1,2384,Rapid,Local,No,03:00,Normal,On-time,No,Verified,No,Desktop,No,Inconsistent,Online,Yes
40,Doctor,Married,0,Live with Parents,181,830,56356,300000,30,home,Yes,4.5,2,0,Rapid,Local,Yes,10:10,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
28,Engineer,Single,1,Rent,45,830,24405,29834,6,education,No,5.9,1,1661,Normal,Unusual,No,12:45,Normal,On-time,No,Verified,No,Tablet,No,Inconsistent,Online,Yes
22,Artist,Single,0,Rent,82,811,0,78917,1,personal,No,4.5,1,2732,Rapid,Local,No,09:00,Normal,Late,No,Verified,No,Mobile,No,Inconsistent,Online,No
34,Chef,Single,2,Own,13,714,0,2000,11,auto,No,5.2,2,4023,Normal,Local,No,11:15,Normal,On-time,No,Verified,No,Mobile,No,Consistent,Referral,No
22,Retired,Single,0,Rent,14,813,81594,80945,6,auto,Yes,4.5,1,0,Rapid,Unusual,No,01:00,Normal,On-time,No,Not Verified,No,Desktop,No,Consistent,Online,No
22,Accountant,Single,1,Own,83,580,33275,50733,1,personal,No,7.3,1,5053,Rapid,Unusual,No,16:00,Normal,On-time,No,Verified,No,Mobile,Yes,Inconsistent,Online,No
22,Self-employed,Single,1,Rent,91,830,72765,10708,1,education,No,7.6,1,0,Normal,Local,No,10:00,Normal,On-time,No,Not Verified,No,Mobile,No,Consistent,Online,Yes
51,Clerk,Divorced,0,Own,1,662,1456,3500,12,medical,Yes,4.5,2,7000,Normal,Local,No,15:30,Normal,On-time,No,Verified,No,Tablet,Yes,Consistent,Online,No
42,Software Developer,Single,0,Own,165,723,54447,23481,15,auto,No,4.5,2,5054,Rapid,Local,No,01:00,Normal,Late,No,Verified,Yes,Desktop,No,Inconsistent,Online,No
22,Designer,Single,1,Rent,26,830,0,59124,16,auto,No,5.6,2,2827,Normal,Unusual,No,15:40,Normal,Late,No,Verified,No,Mobile,No,Inconsistent,Referral,Yes
22,Self-employed,Single,0,Rent,1,830,2679,46935,21,personal,No,4.5,2,1007,Normal,Local,No,09:30,Normal,Late,Yes,Verified,No,Mobile,No,Consistent,Online,No
22,Accountant,Divorced,0,Rent,1,766,53156,66500,14,medical,No,4.5,2,3023,Rapid,Unusual,No,15:40,Normal,Late,No,Verified,No,Desktop,No,Consistent,Online,No
22,Clerk,Single,0,Own,60,675,75352,46740,18,auto,No,5.8,1,3519,Normal,Local,No,09:30,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Online,Yes
22,Manager,Married,0,Own,1,812,145092,25294,30,home,Yes,4.5,4,7000,Rapid,Local,No,14:10,Normal,On-time,No,Verified,No,Laptop,Yes,Consistent,Referral,No
56,Technician,Divorced,2,Rent,33,774,22586,80515,26,home,No,7.5,1,2122,Normal,Unusual,No,10:00,Normal,Late,No,Verified,No,Laptop,No,Consistent,Online,No
56,Teacher,Married,0,Own,107,695,139083,300000,19,home,Yes,4.5,4,6883,Rapid,Local,Yes,16:30,Normal,On-time,No,Verified,No,Laptop,No,Consistent,Referral,No
56,Entrepreneur,Divorced,4,Own,1,698,94900,65854,21,home,Yes,5,1,7000,Normal,Local,Yes,15:30,Normal,On-time,No,Verified,Yes,Desktop,Yes,Consistent,Referral,No
27,Unemployed,Single,0,Rent,73,830,0,2000,1,personal,No,4.8,2,4766,Normal,Unusual,No,03:00,Normal,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
45,Software Developer,Married,0,Own,1,793,77568,14844,30,home,Yes,4.5,2,0,Normal,Local,No,10:20,Normal,On-time,No,Verified,No,Desktop,No,Consistent,Referral,No
35,Engineer,Single,0,Rent,84,580,58013,69773,19,personal,No,7.8,2,4334,Normal,Unusual,No,14:10,Unusual,Late,No,Verified,No,Mobile,No,Consistent,Online,Yes
22,Accountant,Single,3,Rent,70,669,0,39223,1,auto,No,4.5,1,5215,Normal,Local,No,10:30,Normal,On-time,No,Not Verified,No,Mobile,No,Inconsistent,Online,Yes
35,Artist,Divorced,1,Own,38,830,17881,39646,23,home,No,4.5,3,4546,Normal,Local,No,15:30,Normal,On-time,No,Not Verified,No,Desktop,No,Consistent,Referral,No
50,Manager,Married,4,Own,360,830,39676,67233,30,medical,No,5,4,2136,Normal,Unusual,No,14:15,Normal,On-time,No,Verified,No,Desktop,Yes,Consistent,Referral,No
24,Entrepreneur,Single,4,Rent,138,830,55401,252046,29,home,No,4.5,0,4375,Rapid,Local,No,13:30,Normal,On-time,No,Verified,No,Tablet,Yes,Consistent,Online,No
56,Doctor,Single,0,Rent,1,723,96949,68085,27,auto,No,4.5,2,3064,Rapid,Local,Yes,15:30,Unusual,On-time,No,Verified,No,Laptop,Yes,Consistent,Online,No
22,Engineer,Single,1,Rent,76,622,11210,2000,1,personal,No,4.9,1,0,Normal,Unusual,No,15:30,Normal,On-time,No,Verified,No,Tablet,No,Inconsistent,Online,Yes
